covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,variance_ratio_after
age,70.90545833333334,65.0201875,0.41919317430900144,65.17425373134328,68.44744776119403,-0.2331414533603148,1.1903058135383957
severity,2.492409722222222,1.9514895833333332,0.6509123873374751,2.167611940298508,2.3040597014925375,-0.16419343929049612,1.0376574530378955
albumin,3.3953402777777777,3.5673229166666665,-0.4738615137624915,3.5157611940298508,3.45610447761194,0.16437136986922474,0.8024149139947394
