covariate,smdBefore,smdAfter,absSmdBefore,absSmdAfter
admission_age,-0.4422277886859195,-0.030747490511661455,0.4422277886859195,0.030747490511661455
male,0.12681950458359242,-0.03253404463377489,0.12681950458359242,0.03253404463377489
apsiii,0.7889273370579157,-0.24748115346157365,0.7889273370579157,0.24748115346157365
oasis,0.25382292717737026,-0.15142040207951535,0.25382292717737026,0.15142040207951535
sofa,0.93123518925552,-0.25536310585621436,0.93123518925552,0.25536310585621436
charlson_comorbidity_index,0.35748626475792167,-0.1332600921982837,0.35748626475792167,0.1332600921982837
hemoglobin_min,-0.4227364192538863,0.1001775603026633,0.4227364192538863,0.1001775603026633
wbc_max,0.07358099921540737,-0.06289589741898648,0.07358099921540737,0.06289589741898648
creatinine_max,1.705789621542123,0.03625082227188352,1.705789621542123,0.03625082227188352
bun_max,0.7872823417169811,-0.1232100597267028,0.7872823417169811,0.1232100597267028
glucose_max,0.14760362240021946,-0.06985742357660958,0.14760362240021946,0.06985742357660958
