icd_code,icd_version,long_title,dx_hemodialysis,dx_peritoneal_dialysis,dx_unspecified_dialysis,dx_esrd,dx_heart_failure,dx_mi,dx_stroke
42830,9,"Diastolic heart failure, unspecified",0,0,0,0,1,0,0
43401,9,Cerebral thrombosis with cerebral infarction,0,0,0,0,0,0,1
41001,9,"Acute myocardial infarction of anterolateral wall, initial episode of care",0,0,0,0,0,1,0
42832,9,Chronic diastolic heart failure,0,0,0,0,1,0,0
42842,9,Chronic combined systolic and diastolic heart failure,0,0,0,0,1,0,0
42840,9,"Combined systolic and diastolic heart failure, unspecified",0,0,0,0,1,0,0
43490,9,"Cerebral artery occlusion, unspecified without mention of cerebral infarction",0,0,0,0,0,0,1
41061,9,"True posterior wall infarction, initial episode of care",0,0,0,0,0,1,0
40201,9,Malignant hypertensive heart disease with heart failure,0,0,0,0,1,0,0
43400,9,Cerebral thrombosis without mention of cerebral infarction,0,0,0,0,0,0,1
41081,9,"Acute myocardial infarction of other specified sites, initial episode of care",0,0,0,0,0,1,0
40411,9,"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
39891,9,Rheumatic heart failure (congestive),0,0,0,0,1,0,0
43301,9,Occlusion and stenosis of basilar artery with cerebral infarction,0,0,0,0,0,0,1
41010,9,"Acute myocardial infarction of other anterior wall, episode of care unspecified",0,0,0,0,0,1,0
40403,9,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease",0,0,0,0,1,0,0
99656,9,Mechanical complication due to peritoneal dialysis catheter,0,1,0,0,0,0,0
43391,9,Occlusion and stenosis of unspecified precerebral artery with cerebral infarction,0,0,0,0,0,0,1
43380,9,Occlusion and stenosis of other specified precerebral artery without mention of cerebral infarction,0,0,0,0,0,0,1
41042,9,"Acute myocardial infarction of other inferior wall, subsequent episode of care",0,0,0,0,0,1,0
40401,9,"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
41040,9,"Acute myocardial infarction of other inferior wall, episode of care unspecified",0,0,0,0,0,1,0
4281,9,Left heart failure,0,0,0,0,1,0,0
43410,9,Cerebral embolism without mention of cerebral infarction,0,0,0,0,0,0,1
40492,9,"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease",0,0,0,0,1,0,0
40413,9,"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease",0,0,0,0,1,0,0
40400,9,"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
40200,9,Malignant hypertensive heart disease without heart failure,0,0,0,0,1,0,0
41012,9,"Acute myocardial infarction of other anterior wall, subsequent episode of care",0,0,0,0,0,1,0
41002,9,"Acute myocardial infarction of anterolateral wall, subsequent episode of care",0,0,0,0,0,1,0
43300,9,Occlusion and stenosis of basilar artery without mention of cerebral infarction,0,0,0,0,0,0,1
V562,9,Fitting and adjustment of peritoneal dialysis catheter,0,1,0,0,0,0,0
