icd_code,icd_version,long_title
I63519,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified middle cerebral artery
I6352,10,Cerebral infarction due to unspecified occlusion or stenosis of anterior cerebral artery
I63521,10,Cerebral infarction due to unspecified occlusion or stenosis of right anterior cerebral artery
I63522,10,Cerebral infarction due to unspecified occlusion or stenosis of left anterior cerebral artery
I63523,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral anterior cerebral arteries
I63529,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery
I6353,10,Cerebral infarction due to unspecified occlusion or stenosis of posterior cerebral artery
I63531,10,Cerebral infarction due to unspecified occlusion or stenosis of right posterior cerebral artery
I63532,10,Cerebral infarction due to unspecified occlusion or stenosis of left posterior cerebral artery
I63533,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries
I63539,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified posterior cerebral artery
I6354,10,Cerebral infarction due to unspecified occlusion or stenosis of cerebellar artery
I63541,10,Cerebral infarction due to unspecified occlusion or stenosis of right cerebellar artery
I63542,10,Cerebral infarction due to unspecified occlusion or stenosis of left cerebellar artery
I63543,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral cerebellar arteries
I63549,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery
I6359,10,Cerebral infarction due to unspecified occlusion or stenosis of other cerebral artery
I636,10,"Cerebral infarction due to cerebral venous thrombosis, nonpyogenic"
I638,10,Other cerebral infarction
I6381,10,Other cerebral infarction due to occlusion or stenosis of small artery
I6389,10,Other cerebral infarction
I639,10,"Cerebral infarction, unspecified"
