icd_code,event_norm_code,icd_version,long_title,dx_manual_dialysis,dx_hemodialysis_or_unspecified,dx_peritoneal_dialysis,dx_esrd,dx_heart_failure,dx_mi,dx_stroke
I63119,I63119,10,Cerebral infarction due to embolism of unspecified vertebral artery,0,0,0,0,0,0,1
I63549,I63549,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified cerebellar artery,0,0,0,0,0,0,1
Z4931,Z4931,10,Encounter for adequacy testing for hemodialysis,0,1,0,0,0,0,0
I63239,I63239,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified carotid artery,0,0,0,0,0,0,1
I63349,I63349,10,Cerebral infarction due to thrombosis of unspecified cerebellar artery,0,0,0,0,0,0,1
I63439,I63439,10,Cerebral infarction due to embolism of unspecified posterior cerebral artery,0,0,0,0,0,0,1
I5083,I5083,10,High output heart failure,0,0,0,0,1,0,0
I6010,I6010,10,Nontraumatic subarachnoid hemorrhage from unspecified middle cerebral artery,0,0,0,0,0,0,1
I63319,I63319,10,Cerebral infarction due to thrombosis of unspecified middle cerebral artery,0,0,0,0,0,0,1
I63313,I63313,10,Cerebral infarction due to thrombosis of bilateral middle cerebral arteries,0,0,0,0,0,0,1
Z4902,Z4902,10,Encounter for fitting and adjustment of peritoneal dialysis catheter,0,0,1,0,0,0,0
I63523,I63523,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral anterior cerebral arteries,0,0,0,0,0,0,1
41032,41032,9,"Acute myocardial infarction of inferoposterior wall, subsequent episode of care",0,0,0,0,0,1,0
43881,43881,9,"Other late effects of cerebrovascular disease, apraxia",0,0,0,0,0,0,1
40210,40210,9,Benign hypertensive heart disease without heart failure,0,0,0,0,1,0,0
41022,41022,9,"Acute myocardial infarction of inferolateral wall, subsequent episode of care",0,0,0,0,0,1,0
43830,43830,9,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting unspecified side",0,0,0,0,0,0,1
436,436,9,"Acute, but ill-defined, cerebrovascular disease",0,0,0,0,0,0,1
I5040,I5040,10,Unspecified combined systolic (congestive) and diastolic (congestive) heart failure,0,0,0,0,1,0,0
I229,I229,10,Subsequent ST elevation (STEMI) myocardial infarction of unspecified site,0,0,0,0,0,1,0
I6320,I6320,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified precerebral arteries,0,0,0,0,0,0,1
43832,43832,9,"Late effects of cerebrovascular disease, monoplegia of upper limb affecting nondominant side",0,0,0,0,0,0,1
43814,43814,9,"Late effects of cerebrovascular disease, fluency disorder",0,0,0,0,0,0,1
I5089,I5089,10,Other heart failure,0,0,0,0,1,0,0
I63533,I63533,10,Cerebral infarction due to unspecified occlusion or stenosis of bilateral posterior cerebral arteries,0,0,0,0,0,0,1
41052,41052,9,"Acute myocardial infarction of other lateral wall, subsequent episode of care",0,0,0,0,0,1,0
I63013,I63013,10,Cerebral infarction due to thrombosis of bilateral vertebral arteries,0,0,0,0,0,0,1
I63529,I63529,10,Cerebral infarction due to unspecified occlusion or stenosis of unspecified anterior cerebral artery,0,0,0,0,0,0,1
43390,43390,9,Occlusion and stenosis of unspecified precerebral artery without mention of cerebral infarction,0,0,0,0,0,0,1
43852,43852,9,"Late effects of cerebrovascular disease, other paralytic syndrome affecting nondominant side",0,0,0,0,0,0,1
41062,41062,9,"True posterior wall infarction, subsequent episode of care",0,0,0,0,0,1,0
40410,40410,9,"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
I63343,I63343,10,Cerebral infarction due to thrombosis of bilateral cerebellar arteries,0,0,0,0,0,0,1
43840,43840,9,"Late effects of cerebrovascular disease, monoplegia of lower limb affecting unspecified side",0,0,0,0,0,0,1
V5631,V5631,9,Encounter for adequacy testing for hemodialysis,1,1,0,0,0,0,0
T8571XD,T8571XD,10,"Infection and inflammatory reaction due to peritoneal dialysis catheter, subsequent encounter",0,0,1,0,0,0,0
I63342,I63342,10,Cerebral infarction due to thrombosis of left cerebellar artery,0,0,0,0,0,0,1
