icd_code,event_norm_code,icd_version,long_title,dx_manual_dialysis,dx_hemodialysis_or_unspecified,dx_peritoneal_dialysis,dx_esrd,dx_heart_failure,dx_mi,dx_stroke
N186,N186,10,End stage renal disease,1,1,0,1,0,0,0
I50812,I50812,10,Chronic right heart failure,0,0,0,0,1,0,0
I5022,I5022,10,Chronic systolic (congestive) heart failure,0,0,0,0,1,0,0
I639,I639,10,"Cerebral infarction, unspecified",0,0,0,0,0,0,1
I609,I609,10,"Nontraumatic subarachnoid hemorrhage, unspecified",0,0,0,0,0,0,1
I616,I616,10,"Nontraumatic intracerebral hemorrhage, multiple localized",0,0,0,0,0,0,1
I1310,I1310,10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",0,0,0,0,1,0,0
I5032,I5032,10,Chronic diastolic (congestive) heart failure,0,0,0,0,1,0,0
I5023,I5023,10,Acute on chronic systolic (congestive) heart failure,0,0,0,0,1,0,0
I611,I611,10,"Nontraumatic intracerebral hemorrhage in hemisphere, cortical",0,0,0,0,0,0,1
I21A9,I21A9,10,Other myocardial infarction type,0,0,0,0,0,1,0
I50811,I50811,10,Acute right heart failure,0,0,0,0,1,0,0
I50813,I50813,10,Acute on chronic right heart failure,0,0,0,0,1,0,0
I608,I608,10,Other nontraumatic subarachnoid hemorrhage,0,0,0,0,0,0,1
I621,I621,10,Nontraumatic extradural hemorrhage,0,0,0,0,0,0,1
I2121,I2121,10,ST elevation (STEMI) myocardial infarction involving left circumflex coronary artery,0,0,0,0,0,1,0
I2129,I2129,10,ST elevation (STEMI) myocardial infarction involving other sites,0,0,0,0,0,1,0
I618,I618,10,Other nontraumatic intracerebral hemorrhage,0,0,0,0,0,0,1
I607,I607,10,Nontraumatic subarachnoid hemorrhage from unspecified intracranial artery,0,0,0,0,0,0,1
I5030,I5030,10,Unspecified diastolic (congestive) heart failure,0,0,0,0,1,0,0
I5021,I5021,10,Acute systolic (congestive) heart failure,0,0,0,0,1,0,0
I638,I638,10,Other cerebral infarction,0,0,0,0,0,0,1
I5033,I5033,10,Acute on chronic diastolic (congestive) heart failure,0,0,0,0,1,0,0
I63431,I63431,10,Cerebral infarction due to embolism of right posterior cerebral artery,0,0,0,0,0,0,1
I6203,I6203,10,Nontraumatic chronic subdural hemorrhage,0,0,0,0,0,0,1
I21A1,I21A1,10,Myocardial infarction type 2,0,0,0,0,0,1,0
I5020,I5020,10,Unspecified systolic (congestive) heart failure,0,0,0,0,1,0,0
I130,I130,10,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",0,0,0,0,1,0,0
I63412,I63412,10,Cerebral infarction due to embolism of left middle cerebral artery,0,0,0,0,0,0,1
I6200,I6200,10,"Nontraumatic subdural hemorrhage, unspecified",0,0,0,0,0,0,1
I63411,I63411,10,Cerebral infarction due to embolism of right middle cerebral artery,0,0,0,0,0,0,1
I220,I220,10,Subsequent ST elevation (STEMI) myocardial infarction of anterior wall,0,0,0,0,0,1,0
I6340,I6340,10,Cerebral infarction due to embolism of unspecified cerebral artery,0,0,0,0,0,0,1
I132,I132,10,"Hypertensive heart and chronic kidney disease with heart failure and with stage 5 chronic kidney disease, or end stage renal disease",0,0,0,0,1,0,0
I610,I610,10,"Nontraumatic intracerebral hemorrhage in hemisphere, subcortical",0,0,0,0,0,0,1
42823,42823,9,Acute on chronic systolic heart failure,0,0,0,0,1,0,0
41071,41071,9,"Subendocardial infarction, initial episode of care",0,0,0,0,0,1,0
42833,42833,9,Acute on chronic diastolic heart failure,0,0,0,0,1,0,0
41011,41011,9,"Acute myocardial infarction of other anterior wall, initial episode of care",0,0,0,0,0,1,0
43491,43491,9,"Cerebral artery occlusion, unspecified with cerebral infarction",0,0,0,0,0,0,1
43411,43411,9,Cerebral embolism with cerebral infarction,0,0,0,0,0,0,1
43311,43311,9,Occlusion and stenosis of carotid artery with cerebral infarction,0,0,0,0,0,0,1
41021,41021,9,"Acute myocardial infarction of inferolateral wall, initial episode of care",0,0,0,0,0,1,0
42822,42822,9,Chronic systolic heart failure,0,0,0,0,1,0,0
42821,42821,9,Acute systolic heart failure,0,0,0,0,1,0,0
42843,42843,9,Acute on chronic combined systolic and diastolic heart failure,0,0,0,0,1,0,0
430,430,9,Subarachnoid hemorrhage,0,0,0,0,0,0,1
40491,40491,9,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",0,0,0,0,1,0,0
41051,41051,9,"Acute myocardial infarction of other lateral wall, initial episode of care",0,0,0,0,0,1,0
41091,41091,9,"Acute myocardial infarction of unspecified site, initial episode of care",0,0,0,0,0,1,0
41041,41041,9,"Acute myocardial infarction of other inferior wall, initial episode of care",0,0,0,0,0,1,0
4377,4377,9,Transient global amnesia,0,0,0,0,0,0,1
42831,42831,9,Acute diastolic heart failure,0,0,0,0,1,0,0
43381,43381,9,Occlusion and stenosis of other specified precerebral artery with cerebral infarction,0,0,0,0,0,0,1
99668,99668,9,Infection and inflammatory reaction due to peritoneal dialysis catheter,0,0,1,0,0,0,0
V560,V560,9,Encounter for extracorporeal dialysis,1,1,0,0,0,0,0
4372,4372,9,Hypertensive encephalopathy,0,0,0,0,0,0,1
43321,43321,9,Occlusion and stenosis of vertebral artery with cerebral infarction,0,0,0,0,0,0,1
42820,42820,9,"Systolic heart failure, unspecified",0,0,0,0,1,0,0
41031,41031,9,"Acute myocardial infarction of inferoposterior wall, initial episode of care",0,0,0,0,0,1,0
40493,40493,9,"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease",0,0,0,0,1,0,0
42841,42841,9,Acute combined systolic and diastolic heart failure,0,0,0,0,1,0,0
42830,42830,9,"Diastolic heart failure, unspecified",0,0,0,0,1,0,0
4329,4329,9,Unspecified intracranial hemorrhage,0,0,0,0,0,0,1
43401,43401,9,Cerebral thrombosis with cerebral infarction,0,0,0,0,0,0,1
41001,41001,9,"Acute myocardial infarction of anterolateral wall, initial episode of care",0,0,0,0,0,1,0
42832,42832,9,Chronic diastolic heart failure,0,0,0,0,1,0,0
42842,42842,9,Chronic combined systolic and diastolic heart failure,0,0,0,0,1,0,0
42840,42840,9,"Combined systolic and diastolic heart failure, unspecified",0,0,0,0,1,0,0
V561,V561,9,Fitting and adjustment of extracorporeal dialysis catheter,1,1,0,0,0,0,0
43490,43490,9,"Cerebral artery occlusion, unspecified without mention of cerebral infarction",0,0,0,0,0,0,1
41061,41061,9,"True posterior wall infarction, initial episode of care",0,0,0,0,0,1,0
40201,40201,9,Malignant hypertensive heart disease with heart failure,0,0,0,0,1,0,0
