covariate,smdBefore,smdAfter,absSmdBefore,absSmdAfter
admission_age,-0.4726810654805874,-0.012593336592187147,0.4726810654805874,0.012593336592187147
male,0.05885626544077029,0.03551889834120185,0.05885626544077029,0.03551889834120185
apsiii,1.0735237396159025,-0.07734145959953215,1.0735237396159025,0.07734145959953215
oasis,0.7218061711761524,-0.07253515226626703,0.7218061711761524,0.07253515226626703
sofa,1.2112462079603186,-0.06337334535223609,1.2112462079603186,0.06337334535223609
charlson_comorbidity_index,-0.09967529412987108,-0.04874738731648457,0.09967529412987108,0.04874738731648457
hemoglobin_min,-0.4403705730679373,0.034831711611263506,0.4403705730679373,0.034831711611263506
wbc_max,0.22777621317609162,-0.03326124951391332,0.22777621317609162,0.03326124951391332
creatinine_max,0.9934216687323757,0.057885865375272835,0.9934216687323757,0.057885865375272835
bun_max,0.730976078041905,-0.032506252295550486,0.730976078041905,0.032506252295550486
glucose_max,0.12449320870812235,-0.028272848442872003,0.12449320870812235,0.028272848442872003
