row_index,treatment,propensity_score,analysis_weight
0,1,0.12977568350119542,1.0
1,1,0.5347688201452394,1.0
2,0,0.6271249126631966,4.01477037987936
3,1,0.5170279836323292,1.0
4,1,0.6592732062433825,1.0
5,0,0.49113763193511606,2.30394922174297
6,1,0.5854407276412203,1.0
7,1,0.6888832108766672,1.0
8,0,0.5416312891705589,2.820712392959196
9,1,0.8100343796500341,1.0
10,0,0.46306826187985145,2.0587137538840277
11,1,0.7988418805958665,1.0
12,1,0.49803958555409816,1.0
13,0,0.5493801186654009,2.9102655328659934
14,1,0.6407840130722079,1.0
15,1,0.531708545235,1.0
16,0,0.8142468702711804,10.463813343328905
17,1,0.6861831032007029,1.0
18,1,0.7618659714972967,1.0
19,1,0.4094738559724375,1.0
20,1,0.5562059223981255,1.0
21,1,0.8189277765255758,1.0
22,1,0.4777322011361976,1.0
23,1,0.8999671629214033,1.0
24,0,0.6920980629835523,5.365685807573818
25,1,0.8902471697973364,1.0
26,0,0.3584091397334868,1.3334935926984646
27,0,0.7200667290732686,6.140281076574102
28,1,0.8229861517761959,1.0
29,0,0.6987181338350608,5.536037812627927
30,1,0.7723807459067861,1.0
31,1,0.8218542475085135,1.0
32,0,0.7395374686464399,6.7777407238849285
33,1,0.9110795386943512,1.0
34,1,0.6745106785770222,1.0
35,0,0.9051433146194322,22.77820142926409
36,1,0.7044985745353585,1.0
37,1,0.895868082674244,1.0
38,1,0.5586074508269877,1.0
39,1,0.8535325722910216,1.0
40,1,0.9132912010167392,1.0
41,1,0.8401022640786718,1.0
42,1,0.8848916485153335,1.0
43,0,0.8303102073224523,11.680318457608989
44,1,0.750715562127879,1.0
45,0,0.600349608618471,3.5858656591515756
46,1,0.8243998106792305,1.0
47,1,0.955786911170685,1.0
48,1,0.8437765895631177,1.0
49,1,0.9511966863679661,1.0
50,1,0.7976534770653324,1.0
51,0,0.8607396620554587,14.75415686217333
52,1,0.6069557076702099,1.0
53,1,0.9224976931880553,1.0
54,0,0.6873272478686246,5.247392505481724
55,1,0.583191669043544,1.0
56,1,0.7166304039128084,1.0
57,1,0.300479427592102,1.0
58,0,0.38593928460928456,1.5002985832422115
59,0,0.7431974995583885,6.908360902770531
60,1,0.4196381610479312,1.0
61,1,0.8478690724873256,1.0
62,0,0.5299029316491447,2.690783806018765
63,1,0.6386498808734326,1.0
64,0,0.30631490592854954,1.0540853913088784
65,1,0.6144170457279303,1.0
66,1,0.6998365686593842,1.0
67,0,0.5974270245108771,3.5425033717011076
68,1,0.8513964927776878,1.0
69,1,0.7407914044048179,1.0
70,0,0.5874355888464685,3.3989010231424315
71,1,0.47542239404481446,1.0
72,0,0.6209374347638578,3.9102720327380305
73,1,0.8553075988243637,1.0
74,1,0.5445368933338504,1.0
75,1,0.8462763222030357,1.0
76,1,0.5000958954067073,1.0
77,1,0.7830798872547641,1.0
78,0,0.4220107465061614,1.7429052280305208
79,1,0.7707487290539191,1.0
80,1,0.8586912892302636,1.0
81,0,0.7519337347447117,7.235722240463506
82,1,0.601625010876408,1.0
83,0,0.6724745022071943,4.901180902751281
84,1,0.7877334648088887,1.0
85,1,0.9305157606018661,1.0
86,0,0.7303519567471434,6.465542189535554
87,1,0.9257713607878307,1.0
88,0,0.5148081481206349,2.5328060744368543
89,0,0.7929125736448891,9.1399032769838
90,1,0.43643132695775605,1.0
91,1,0.8839451172552918,1.0
92,1,0.9322799308026897,1.0
93,1,0.8728881811445134,1.0
94,1,0.9094833160753043,1.0
95,1,0.6853059806533675,1.0
96,1,0.7974097832467826,1.0
97,0,0.6625487658633568,4.68680467500651
98,1,0.8598683541204338,1.0
99,1,0.9658176378654763,1.0
100,1,0.8759203850698539,1.0
101,1,0.8966329116589323,1.0
102,0,0.6369452027918532,4.187934853401161
103,1,0.8898488504500017,1.0
104,1,0.6686941121316228,1.0
105,1,0.8792775650994904,1.0
106,1,0.9579175320195926,1.0
107,1,0.8314659628834052,1.0
108,0,0.5295269706150512,2.686726006496366
109,1,0.3595622102065863,1.0
110,0,0.4509921980402713,1.960922991049513
111,1,0.790907725604614,1.0
112,1,0.48587680334477606,1.0
113,1,0.8792912796495879,1.0
114,1,0.3340757665351597,1.0
115,1,0.6978878629705388,1.0
116,0,0.3659448513905367,1.3777126109658564
117,1,0.6756098270075049,1.0
118,1,0.7529244758451139,1.0
119,1,0.6598233010421206,1.0
120,1,0.5441625681247588,1.0
121,0,0.5598425862309738,3.0361829423811777
122,1,0.6504744587088077,1.0
123,1,0.5422394377115751,1.0
124,0,0.6816316120925529,5.11081088517966
125,1,0.8854010620904827,1.0
126,0,0.34729702970383514,1.270151442572495
127,0,0.7101528492948053,5.848612179252329
128,1,0.5666349227980663,1.0
129,1,0.8251240262438315,1.0
130,1,0.4883087903340784,1.0
131,1,0.8146171187441842,1.0
132,0,0.7300546396759546,6.4557919175329985
133,1,0.5742932840765074,1.0
134,1,0.6637368522194854,1.0
135,0,0.5568105564003449,2.9990801951971697
136,1,0.8290725113168154,1.0
137,1,0.9459556249469504,1.0
138,1,0.7797414175335359,1.0
139,1,0.8473433260288016,1.0
140,0,0.581029508218749,3.3104328156465814
141,1,0.8334562323804348,1.0
142,0,0.5030232066427738,2.4161391235392196
143,0,0.9087181412739043,23.76373765783061
144,1,0.9473499652526379,1.0
145,1,0.7534648097932154,1.0
146,1,0.8172430987388899,1.0
147,1,0.7400090818013597,1.0
148,1,0.8372536931494761,1.0
149,1,0.7195890920833133,1.0
150,1,0.7896847892282796,1.0
151,1,0.9263346159614769,1.0
152,1,0.7585578306372971,1.0
153,1,0.9189459472581848,1.0
154,0,0.6963297633009986,5.473722251543387
155,1,0.913485007454255,1.0
156,0,0.7251266285116043,6.297253991643819
157,1,0.9049397761589855,1.0
158,1,0.9101581723735194,1.0
159,1,0.8657396921523027,1.0
160,1,0.9209789233202167,1.0
161,1,0.8532362466629201,1.0
162,0,0.517764649347896,2.5629691447930854
163,1,0.8317606119235849,1.0
164,0,0.2960725969965208,1.0040153831232623
165,1,0.6028253590039719,1.0
166,1,0.39602464380931357,1.0
167,0,0.751197895018976,7.207262463143337
168,1,0.42998749785875323,1.0
169,1,0.7313376433239398,1.0
170,0,0.5755930558573351,3.2374501544993137
171,1,0.46330215018388615,1.0
172,0,0.6094171591056842,3.724530579245286
173,1,0.6244018569166887,1.0
174,1,0.7086582727737559,1.0
175,0,0.607570793512904,3.6957755878360143
176,1,0.4879317097189992,1.0
177,1,0.7746993796379273,1.0
178,0,0.4101874275926145,1.6601156554268446
179,1,0.7620365885345208,1.0
180,0,0.44447104429817696,1.9098831576226596
181,0,0.8604710470908784,14.721157279345574
182,1,0.555020730162307,1.0
183,0,0.661667084397933,4.668370382898408
184,1,0.7794821153329348,1.0
185,1,0.638103144522831,1.0
186,0,0.7206610234863166,6.158423095557305
187,1,0.6215138896702115,1.0
188,1,0.8637532230101739,1.0
