term,estimate,std_error,p_value,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high
const,-4.027949563869277,1.8486773765870437,0.029344466851205203,-7.651290641013873,-0.4046084867246811,0.01781081247175052,0.00047543012326068133,0.6672379922589119
treatment,0.4757562688242516,0.3338524176897034,0.15414285140348566,-0.17858244599918993,1.1300949836476932,1.6092307484540973,0.836455091658669,3.095950550835882
age,0.04326312675821376,0.01137437975846303,0.0001426318886337378,0.020969752085144823,0.0655565014312827,1.0442126189867118,1.0211911622670344,1.067753065185616
severity,0.8337884943009074,0.21256252401927272,8.761436594307729e-05,0.4171736027602027,1.2504033858416121,2.3020234436901754,1.5176659610666685,3.4917511964059824
albumin,-0.5576783461621193,0.44310315220151747,0.20818404772561372,-1.4261445659132637,0.31078787358902493,0.572536754186453,0.24023334289620277,1.3644997440508921
