icd_code,icd_version,long_title
S12031K,10,"Nondisplaced posterior arch fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12031S,10,"Nondisplaced posterior arch fracture of first cervical vertebra, sequela"
S1204,10,Lateral mass fracture of first cervical vertebra
S12040,10,Displaced lateral mass fracture of first cervical vertebra
S12040A,10,"Displaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture"
S12040B,10,"Displaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture"
S12040D,10,"Displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12040G,10,"Displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12040K,10,"Displaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12040S,10,"Displaced lateral mass fracture of first cervical vertebra, sequela"
S12041,10,Nondisplaced lateral mass fracture of first cervical vertebra
S12041A,10,"Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for closed fracture"
S12041B,10,"Nondisplaced lateral mass fracture of first cervical vertebra, initial encounter for open fracture"
S12041D,10,"Nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12041G,10,"Nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12041K,10,"Nondisplaced lateral mass fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12041S,10,"Nondisplaced lateral mass fracture of first cervical vertebra, sequela"
S1209,10,Other fracture of first cervical vertebra
S12090,10,Other displaced fracture of first cervical vertebra
S12090A,10,"Other displaced fracture of first cervical vertebra, initial encounter for closed fracture"
S12090B,10,"Other displaced fracture of first cervical vertebra, initial encounter for open fracture"
S12090D,10,"Other displaced fracture of first cervical vertebra, subsequent encounter for fracture with routine healing"
S12090G,10,"Other displaced fracture of first cervical vertebra, subsequent encounter for fracture with delayed healing"
S12090K,10,"Other displaced fracture of first cervical vertebra, subsequent encounter for fracture with nonunion"
S12090S,10,"Other displaced fracture of first cervical vertebra, sequela"
S12091,10,Other nondisplaced fracture of first cervical vertebra
S12091A,10,"Other nondisplaced fracture of first cervical vertebra, initial encounter for closed fracture"
S12091B,10,"Other nondisplaced fracture of first cervical vertebra, initial encounter for open fracture"
