pair_id,treated_row_index,control_row_index,treated_propensity_score,control_propensity_score,logit_distance
1,57,277,0.3227871951731233,0.33227981608206913,0.04310052498554462
2,114,64,0.3433033185858194,0.348221418505198,0.021741504821043978
3,284,26,0.35806653439070657,0.359643153555569,0.006852548996760577
4,246,234,0.3696280601174556,0.36356304706511766,0.026119865124545116
5,109,227,0.3882516432404812,0.4017237909970473,0.056379551856267585
6,19,227,0.397649525877008,0.4017237909970473,0.01698065986099967
7,239,227,0.40801728339636595,0.4017237909970473,0.02611986512454506
8,166,116,0.4104070519508666,0.4156779708716662,0.02174150482104409
9,90,286,0.4342655808741718,0.4320216338840538,0.00913920526354639
10,298,286,0.4384419335240715,0.4320216338840538,0.026119865124545977
11,171,291,0.4564808541622542,0.4785524351039252,0.08867523866434787
12,71,291,0.4678087246389049,0.4785524351039252,0.04310052498554459
13,60,110,0.4708401761805592,0.4654269317873961,0.02174150482104409
14,279,291,0.4720385034014713,0.4785524351039252,0.026119865124545227
15,22,218,0.48330153016671407,0.4810196413403611,0.009139205263546418
16,168,218,0.48644921178123474,0.4810196413403611,0.021741504821043547
17,230,180,0.48754306103658923,0.49297632098028643,0.02174150482104366
18,130,180,0.49893416276428737,0.49297632098028643,0.023833208857759698
19,176,142,0.5151389469949971,0.5054639099204076,0.038717793298183756
20,3,5,0.5171698137832517,0.5252290452269744,0.03229568680808062
21,15,5,0.5236887856533411,0.5252290452269744,0.006175821683535365
22,76,88,0.526512364592015,0.5330190952408209,0.0261198651245452
23,223,5,0.5279226169796645,0.5252290452269744,0.010804838177464457
24,225,135,0.5359634087213327,0.5457470463458244,0.03939889199526794
25,38,296,0.5389464679232074,0.537243276920622,0.0068525489967603825
26,123,135,0.5392643658795546,0.5457470463458244,0.026119865124545533
27,112,296,0.5422870334678728,0.537243276920622,0.020303624597557024
28,1,135,0.5472765566829207,0.5457470463458244,0.006171450299676556
29,258,62,0.5496366236431628,0.548196481825287,0.005816240526987815
30,12,208,0.5535755063000198,0.555012420069133,0.0058162405269886475
31,74,208,0.5546572735342485,0.555012420069133,0.0014378802234868426
32,282,208,0.5588477202652177,0.555012420069133,0.015542779637512966
33,182,170,0.5700515833940276,0.5652759099077171,0.019459219938117223
34,120,8,0.5706108652713902,0.5753708885002735,0.019454848554257886
35,133,121,0.5755343739463011,0.5691411830745003,0.026119865124545394
36,20,278,0.5817395738454894,0.580580722737301,0.004760844960044308
37,82,278,0.5828045276964191,0.580580722737301,0.009139205263546224
38,228,278,0.5858654591103123,0.580580722737301,0.0217415048210437
39,290,240,0.5869273671532673,0.5921883065165495,0.021741504821043867
40,55,45,0.5878371072844375,0.592947213804843,0.021131267474069737
41,128,240,0.5968781189043718,0.5921883065165495,0.019454848554258664
42,190,140,0.5979311680978523,0.6031467218532727,0.021741504821043867
43,6,140,0.6028024987658215,0.6031467218532727,0.0014378802234865096
44,165,175,0.6121937468191644,0.6091418549765187,0.012836466869963925
45,63,175,0.6153416185948976,0.6091418549765187,0.026115493740686946
46,187,175,0.6153426532848092,0.6091418549765187,0.026119865124545394
47,271,283,0.6193529253049566,0.6254913256099843,0.026119865124545616
48,52,2,0.6201743766873123,0.6238276795258357,0.015538408253653768
49,65,283,0.6229568595842911,0.6254913256099843,0.010804838177463694
50,260,2,0.6241660674678564,0.6238276795258357,0.0014422516073454572
51,273,283,0.6269368988101227,0.6254913256099843,0.006175821683535698
52,14,2,0.6299370350240695,0.6238276795258357,0.02611986512454567
