outcome,status,term,odds_ratio,ci_low,ci_high,p_value,n,events,note
in_hospital_mortality,not_fit,,,,,,4255,96,Singular matrix
death_30d,not_fit,,,,,,4255,127,math range error
death_365d,fit,admission_age,0.9892299171971806,0.9759237595251834,1.0027174966557302,0.11706863565208284,4255,375,
death_365d,fit,male,1.172706755071903,0.9258494281844003,1.4853831427947561,0.18647092657616393,4255,375,
death_365d,fit,charlson_comorbidity_index,1.3305904060787224,1.2596875911198218,1.405484059087101,1.5615998880728543e-24,4255,375,
death_365d,fit,dialysis_group_non_dialysis,0.23785391830760866,0.16334454305173252,0.34635063649702075,6.88775135818005e-14,4255,375,
death_365d,fit,dialysis_group_peritoneal_dialysis,0.583807761251478,0.13952029366914107,2.4428811976680027,0.4611619619819364,4255,375,
death_365d,fit,valve_strategy_TAVR,1.7726513342045929,1.3619225173250638,2.307247815264163,2.0726894440481568e-05,4255,375,
death_365d,fit,valve_strategy_mixed_savr_tavr_same_admission,15.014345458162389,2.3782711943986925,94.78757934249714,0.003957807525203522,4255,375,
death_365d,fit,anchor_year_group_2011 - 2013,0.7209599036184805,0.513920296717286,1.0114081618214585,0.058187059157238874,4255,375,
death_365d,fit,anchor_year_group_2014 - 2016,0.7584876027182349,0.5489187895130726,1.048066589208191,0.09385184913077706,4255,375,
death_365d,fit,anchor_year_group_2017 - 2019,0.8661290566778312,0.6119493488444965,1.225885025023957,0.41743192231769766,4255,375,
death_365d,fit,anchor_year_group_2020 - 2022,0.9557220949098377,0.6365993113248374,1.4348188985595147,0.8270766408449084,4255,375,
death_365d,fit,insurance_Medicare,0.736919917254796,0.4459899813532292,1.2176304113358833,0.23347349971083553,4255,375,
death_365d,fit,insurance_Other,0.3832343949431664,0.084924054593431,1.7294110858293308,0.21222065737772922,4255,375,
death_365d,fit,insurance_Private,0.43083749849289726,0.24561720804319911,0.7557326768203076,0.0033165067080616634,4255,375,
hf_readmission_365d,fit,admission_age,0.9825944503339386,0.972087533259197,0.9932149325997132,0.00136867287435482,4255,622,
hf_readmission_365d,fit,male,0.9711666547839819,0.8069477460210291,1.1688051376498063,0.7568939049551071,4255,622,
hf_readmission_365d,fit,charlson_comorbidity_index,1.3191332505594424,1.260744606858496,1.3802260372681716,3.9613587902555786e-33,4255,622,
hf_readmission_365d,fit,dialysis_group_non_dialysis,1.1034423476749045,0.7361911209147423,1.6538979893283883,0.6335619079444685,4255,622,
hf_readmission_365d,fit,dialysis_group_peritoneal_dialysis,0.9414252087548376,0.2232510424388858,3.9698870562797306,0.9344819825790442,4255,622,
hf_readmission_365d,fit,valve_strategy_TAVR,2.078260908591302,1.6829431836543627,2.5664374449053295,1.078978703486162e-11,4255,622,
hf_readmission_365d,fit,valve_strategy_mixed_savr_tavr_same_admission,1.7183599864863028,0.18732491003123,15.762778386841001,0.6321094832424188,4255,622,
hf_readmission_365d,fit,anchor_year_group_2011 - 2013,0.719530743710064,0.5568122452543818,0.9298008360204675,0.011855846409244074,4255,622,
hf_readmission_365d,fit,anchor_year_group_2014 - 2016,0.5593398703272562,0.43336548592117874,0.7219335657815065,8.098969670890516e-06,4255,622,
hf_readmission_365d,fit,anchor_year_group_2017 - 2019,0.64790213544959,0.49362629777350525,0.8503946791602031,0.0017608551128622703,4255,622,
hf_readmission_365d,fit,anchor_year_group_2020 - 2022,0.46294763210596085,0.32540843856790164,0.658620013100228,1.8544838377486606e-05,4255,622,
hf_readmission_365d,fit,insurance_Medicare,0.7929061697216289,0.526333461778505,1.1944902607146,0.26703500472421515,4255,622,
hf_readmission_365d,fit,insurance_Other,0.8970979498451018,0.369069032535235,2.180580489476456,0.8106188205398234,4255,622,
hf_readmission_365d,fit,insurance_Private,0.6273123599001301,0.40840695969883023,0.9635506632248941,0.033210541064669925,4255,622,
cardiac_readmission_365d,fit,admission_age,0.9875288498672821,0.9796086204762303,0.9955131150704893,0.002254289763364026,4255,1238,
cardiac_readmission_365d,fit,male,0.9428339440877405,0.8189695785867194,1.0854320714306196,0.4126937509327281,4255,1238,
cardiac_readmission_365d,fit,charlson_comorbidity_index,1.1443599308610433,1.1031330869192257,1.1871275251271483,5.88261835694299e-13,4255,1238,
cardiac_readmission_365d,fit,dialysis_group_non_dialysis,0.9860247335250197,0.7033418024647884,1.382321897711689,0.9349257241497722,4255,1238,
cardiac_readmission_365d,fit,dialysis_group_peritoneal_dialysis,1.987732561326684,0.5897756146904668,6.69929484526415,0.26777080064075554,4255,1238,
cardiac_readmission_365d,fit,valve_strategy_TAVR,1.3861495554925334,1.1693571882483063,1.643134030817748,0.00016791834463889435,4255,1238,
cardiac_readmission_365d,fit,valve_strategy_mixed_savr_tavr_same_admission,0.7033899374557087,0.07796896147747111,6.345568733231163,0.7538916635809612,4255,1238,
cardiac_readmission_365d,fit,anchor_year_group_2011 - 2013,0.6974450654735788,0.5741491029050774,0.8472182868390981,0.00028299188593663743,4255,1238,
cardiac_readmission_365d,fit,anchor_year_group_2014 - 2016,0.5314586707515364,0.43806639298102285,0.6447614408285041,1.4459657983530716e-10,4255,1238,
cardiac_readmission_365d,fit,anchor_year_group_2017 - 2019,0.602369426405038,0.4901356724634515,0.7403030349613892,1.4480016393822722e-06,4255,1238,
cardiac_readmission_365d,fit,anchor_year_group_2020 - 2022,0.48489496094693396,0.37485320515882986,0.6272405302019604,3.556389482659301e-08,4255,1238,
cardiac_readmission_365d,fit,insurance_Medicare,0.7642443620356114,0.5665513559872668,1.030920566566159,0.07831265472718672,4255,1238,
cardiac_readmission_365d,fit,insurance_Other,0.8221036423871317,0.4396963703845706,1.5370934225248847,0.539527068794494,4255,1238,
cardiac_readmission_365d,fit,insurance_Private,0.6682279375208089,0.49737085531985603,0.8977779290991115,0.0074576556238564766,4255,1238,
mace_365d,fit,admission_age,0.9737819171885147,0.9644033568008477,0.9832516815255716,7.423586958109727e-08,4255,876,
mace_365d,fit,male,1.0943424227718015,0.9247674499333923,1.2950124254095599,0.29395588125860406,4255,876,
mace_365d,fit,charlson_comorbidity_index,1.5073636985335512,1.4429570272762149,1.5746451742542478,9.331170309367611e-76,4255,876,
mace_365d,fit,dialysis_group_non_dialysis,0.5875181403033892,0.415078787991158,0.8315952902727131,0.0026975793798495098,4255,876,
mace_365d,fit,dialysis_group_peritoneal_dialysis,2.0402543610127792,0.5462019339007189,7.621060269604047,0.2889068684832702,4255,876,
mace_365d,fit,valve_strategy_TAVR,0.8025440135116967,0.6583314603821986,0.9783474319297141,0.029512845038841988,4255,876,
mace_365d,fit,valve_strategy_mixed_savr_tavr_same_admission,11.080608793998914,1.1802445570326376,104.02919506304556,0.035291153448625184,4255,876,
