covariate,smdBefore,smdAfter,absSmdBefore,absSmdAfter
admission_age,-0.3893701811276693,-0.006289508679046123,0.3893701811276693,0.006289508679046123
male,0.02952580548746193,0.011661657669641319,0.02952580548746193,0.011661657669641319
apsiii,1.1386329368216872,0.004947071517116145,1.1386329368216872,0.004947071517116145
oasis,0.8784317467328615,0.0016342164663088622,0.8784317467328615,0.0016342164663088622
sofa,1.2163207869639576,-0.0030140298506133073,1.2163207869639576,0.0030140298506133073
charlson_comorbidity_index,-0.08218818584846763,-0.043086360158230294,0.08218818584846763,0.043086360158230294
hemoglobin_min,-0.2877792490407513,-0.00014492273645645386,0.2877792490407513,0.00014492273645645386
wbc_max,0.23618767705731875,0.005671328903556836,0.23618767705731875,0.005671328903556836
creatinine_max,0.6556968206778343,-0.01462502717221491,0.6556968206778343,0.01462502717221491
bun_max,0.41485556014821806,-0.032935870908477854,0.41485556014821806,0.032935870908477854
glucose_max,0.11555083394480256,-3.297823815221516e-06,0.11555083394480256,3.297823815221516e-06
