icd_code,icd_version,long_title
M86232,10,"Subacute osteomyelitis, left radius and ulna"
M86239,10,"Subacute osteomyelitis, unspecified radius and ulna"
M8624,10,"Subacute osteomyelitis, hand"
M86241,10,"Subacute osteomyelitis, right hand"
M86242,10,"Subacute osteomyelitis, left hand"
M86249,10,"Subacute osteomyelitis, unspecified hand"
M8625,10,"Subacute osteomyelitis, femur"
M86251,10,"Subacute osteomyelitis, right femur"
M86252,10,"Subacute osteomyelitis, left femur"
M86259,10,"Subacute osteomyelitis, unspecified femur"
M8626,10,"Subacute osteomyelitis, tibia and fibula"
M86261,10,"Subacute osteomyelitis, right tibia and fibula"
M86262,10,"Subacute osteomyelitis, left tibia and fibula"
M86269,10,"Subacute osteomyelitis, unspecified tibia and fibula"
M8627,10,"Subacute osteomyelitis, ankle and foot"
M86271,10,"Subacute osteomyelitis, right ankle and foot"
M86272,10,"Subacute osteomyelitis, left ankle and foot"
M86279,10,"Subacute osteomyelitis, unspecified ankle and foot"
M8628,10,"Subacute osteomyelitis, other site"
M8629,10,"Subacute osteomyelitis, multiple sites"
M863,10,Chronic multifocal osteomyelitis
M8630,10,"Chronic multifocal osteomyelitis, unspecified site"
M8631,10,"Chronic multifocal osteomyelitis, shoulder"
M86311,10,"Chronic multifocal osteomyelitis, right shoulder"
M86312,10,"Chronic multifocal osteomyelitis, left shoulder"
M86319,10,"Chronic multifocal osteomyelitis, unspecified shoulder"
M8632,10,"Chronic multifocal osteomyelitis, humerus"
M86321,10,"Chronic multifocal osteomyelitis, right humerus"
M86322,10,"Chronic multifocal osteomyelitis, left humerus"
M86329,10,"Chronic multifocal osteomyelitis, unspecified humerus"
M8633,10,"Chronic multifocal osteomyelitis, radius and ulna"
M86331,10,"Chronic multifocal osteomyelitis, right radius and ulna"
M86332,10,"Chronic multifocal osteomyelitis, left radius and ulna"
M86339,10,"Chronic multifocal osteomyelitis, unspecified radius and ulna"
M8634,10,"Chronic multifocal osteomyelitis, hand"
M86341,10,"Chronic multifocal osteomyelitis, right hand"
M86342,10,"Chronic multifocal osteomyelitis, left hand"
M86349,10,"Chronic multifocal osteomyelitis, unspecified hand"
M8635,10,"Chronic multifocal osteomyelitis, femur"
M86351,10,"Chronic multifocal osteomyelitis, right femur"
M86352,10,"Chronic multifocal osteomyelitis, left femur"
M86359,10,"Chronic multifocal osteomyelitis, unspecified femur"
M8636,10,"Chronic multifocal osteomyelitis, tibia and fibula"
M86361,10,"Chronic multifocal osteomyelitis, right tibia and fibula"
M86362,10,"Chronic multifocal osteomyelitis, left tibia and fibula"
M86369,10,"Chronic multifocal osteomyelitis, unspecified tibia and fibula"
M8637,10,"Chronic multifocal osteomyelitis, ankle and foot"
M86371,10,"Chronic multifocal osteomyelitis, right ankle and foot"
M86372,10,"Chronic multifocal osteomyelitis, left ankle and foot"
M86379,10,"Chronic multifocal osteomyelitis, unspecified ankle and foot"
M8638,10,"Chronic multifocal osteomyelitis, other site"
M8639,10,"Chronic multifocal osteomyelitis, multiple sites"
M864,10,Chronic osteomyelitis with draining sinus
M8640,10,"Chronic osteomyelitis with draining sinus, unspecified site"
M8641,10,"Chronic osteomyelitis with draining sinus, shoulder"
M86411,10,"Chronic osteomyelitis with draining sinus, right shoulder"
M86412,10,"Chronic osteomyelitis with draining sinus, left shoulder"
M86419,10,"Chronic osteomyelitis with draining sinus, unspecified shoulder"
M8642,10,"Chronic osteomyelitis with draining sinus, humerus"
M86421,10,"Chronic osteomyelitis with draining sinus, right humerus"
M86422,10,"Chronic osteomyelitis with draining sinus, left humerus"
M86429,10,"Chronic osteomyelitis with draining sinus, unspecified humerus"
M8643,10,"Chronic osteomyelitis with draining sinus, radius and ulna"
M86431,10,"Chronic osteomyelitis with draining sinus, right radius and ulna"
M86432,10,"Chronic osteomyelitis with draining sinus, left radius and ulna"
M86439,10,"Chronic osteomyelitis with draining sinus, unspecified radius and ulna"
M8644,10,"Chronic osteomyelitis with draining sinus, hand"
M86441,10,"Chronic osteomyelitis with draining sinus, right hand"
M86442,10,"Chronic osteomyelitis with draining sinus, left hand"
M86449,10,"Chronic osteomyelitis with draining sinus, unspecified hand"
M8645,10,"Chronic osteomyelitis with draining sinus, femur"
M86451,10,"Chronic osteomyelitis with draining sinus, right femur"
M86452,10,"Chronic osteomyelitis with draining sinus, left femur"
M86459,10,"Chronic osteomyelitis with draining sinus, unspecified femur"
M8646,10,"Chronic osteomyelitis with draining sinus, tibia and fibula"
M86461,10,"Chronic osteomyelitis with draining sinus, right tibia and fibula"
M86462,10,"Chronic osteomyelitis with draining sinus, left tibia and fibula"
M86469,10,"Chronic osteomyelitis with draining sinus, unspecified tibia and fibula"
M8647,10,"Chronic osteomyelitis with draining sinus, ankle and foot"
M86471,10,"Chronic osteomyelitis with draining sinus, right ankle and foot"
M86472,10,"Chronic osteomyelitis with draining sinus, left ankle and foot"
M86479,10,"Chronic osteomyelitis with draining sinus, unspecified ankle and foot"
M8648,10,"Chronic osteomyelitis with draining sinus, other site"
M8649,10,"Chronic osteomyelitis with draining sinus, multiple sites"
M865,10,Other chronic hematogenous osteomyelitis
M8650,10,"Other chronic hematogenous osteomyelitis, unspecified site"
M8651,10,"Other chronic hematogenous osteomyelitis, shoulder"
M86511,10,"Other chronic hematogenous osteomyelitis, right shoulder"
M86512,10,"Other chronic hematogenous osteomyelitis, left shoulder"
M86519,10,"Other chronic hematogenous osteomyelitis, unspecified shoulder"
M8652,10,"Other chronic hematogenous osteomyelitis, humerus"
M86521,10,"Other chronic hematogenous osteomyelitis, right humerus"
M86522,10,"Other chronic hematogenous osteomyelitis, left humerus"
M86529,10,"Other chronic hematogenous osteomyelitis, unspecified humerus"
M8653,10,"Other chronic hematogenous osteomyelitis, radius and ulna"
M86531,10,"Other chronic hematogenous osteomyelitis, right radius and ulna"
M86532,10,"Other chronic hematogenous osteomyelitis, left radius and ulna"
M86539,10,"Other chronic hematogenous osteomyelitis, unspecified radius and ulna"
M8654,10,"Other chronic hematogenous osteomyelitis, hand"
M86541,10,"Other chronic hematogenous osteomyelitis, right hand"
M86542,10,"Other chronic hematogenous osteomyelitis, left hand"
M86549,10,"Other chronic hematogenous osteomyelitis, unspecified hand"
M8655,10,"Other chronic hematogenous osteomyelitis, femur"
M86551,10,"Other chronic hematogenous osteomyelitis, right femur"
M86552,10,"Other chronic hematogenous osteomyelitis, left femur"
M86559,10,"Other chronic hematogenous osteomyelitis, unspecified femur"
M8656,10,"Other chronic hematogenous osteomyelitis, tibia and fibula"
M86561,10,"Other chronic hematogenous osteomyelitis, right tibia and fibula"
M86562,10,"Other chronic hematogenous osteomyelitis, left tibia and fibula"
M86569,10,"Other chronic hematogenous osteomyelitis, unspecified tibia and fibula"
M8657,10,"Other chronic hematogenous osteomyelitis, ankle and foot"
M86571,10,"Other chronic hematogenous osteomyelitis, right ankle and foot"
M86572,10,"Other chronic hematogenous osteomyelitis, left ankle and foot"
M86579,10,"Other chronic hematogenous osteomyelitis, unspecified ankle and foot"
M8658,10,"Other chronic hematogenous osteomyelitis, other site"
M8659,10,"Other chronic hematogenous osteomyelitis, multiple sites"
M866,10,Other chronic osteomyelitis
M8660,10,"Other chronic osteomyelitis, unspecified site"
M8661,10,"Other chronic osteomyelitis, shoulder"
M86611,10,"Other chronic osteomyelitis, right shoulder"
M86612,10,"Other chronic osteomyelitis, left shoulder"
M86619,10,"Other chronic osteomyelitis, unspecified shoulder"
M8662,10,"Other chronic osteomyelitis, humerus"
M86621,10,"Other chronic osteomyelitis, right humerus"
M86622,10,"Other chronic osteomyelitis, left humerus"
M86629,10,"Other chronic osteomyelitis, unspecified humerus"
M8663,10,"Other chronic osteomyelitis, radius and ulna"
M86631,10,"Other chronic osteomyelitis, right radius and ulna"
M86632,10,"Other chronic osteomyelitis, left radius and ulna"
M86639,10,"Other chronic osteomyelitis, unspecified radius and ulna"
M8664,10,"Other chronic osteomyelitis, hand"
M86641,10,"Other chronic osteomyelitis, right hand"
M86642,10,"Other chronic osteomyelitis, left hand"
M86649,10,"Other chronic osteomyelitis, unspecified hand"
M8665,10,"Other chronic osteomyelitis, thigh"
M86651,10,"Other chronic osteomyelitis, right thigh"
M86652,10,"Other chronic osteomyelitis, left thigh"
M86659,10,"Other chronic osteomyelitis, unspecified thigh"
M8666,10,"Other chronic osteomyelitis, tibia and fibula"
M86661,10,"Other chronic osteomyelitis, right tibia and fibula"
M86662,10,"Other chronic osteomyelitis, left tibia and fibula"
M86669,10,"Other chronic osteomyelitis, unspecified tibia and fibula"
M8667,10,"Other chronic osteomyelitis, ankle and foot"
M86671,10,"Other chronic osteomyelitis, right ankle and foot"
M86672,10,"Other chronic osteomyelitis, left ankle and foot"
M86679,10,"Other chronic osteomyelitis, unspecified ankle and foot"
M8668,10,"Other chronic osteomyelitis, other site"
M8669,10,"Other chronic osteomyelitis, multiple sites"
M868,10,Other osteomyelitis
M868X,10,Other osteomyelitis
M868X0,10,"Other osteomyelitis, multiple sites"
M868X1,10,"Other osteomyelitis, shoulder"
M868X2,10,"Other osteomyelitis, upper arm"
M868X3,10,"Other osteomyelitis, forearm"
M868X4,10,"Other osteomyelitis, hand"
M868X5,10,"Other osteomyelitis, thigh"
M868X6,10,"Other osteomyelitis, lower leg"
M868X7,10,"Other osteomyelitis, ankle and foot"
M868X8,10,"Other osteomyelitis, other site"
M868X9,10,"Other osteomyelitis, unspecified sites"
M869,10,"Osteomyelitis, unspecified"
