covariate,treated_mean_before,control_mean_before,smd_before,treated_mean_after,control_mean_after,smd_after,variance_ratio_after
age,60.059945504087196,52.5359477124183,0.5092305678560353,57.53569463232332,56.77024661425134,0.05180617268902883,1.204388589667838
bmi,28.498637602179837,26.861960784313727,0.309442763377855,27.932450841110814,28.0428634449957,-0.020875459886105886,1.0244952489906234
severity,4.2540871934604905,3.0718954248366015,0.5191133915988692,3.8486884243708874,3.7926796218619474,0.024594080420346096,1.0661566237159734
frailty,1.8160762942779292,1.5996732026143792,0.2010487120612021,1.731827627843962,1.7275386168386746,0.003984694174194105,1.006150706949611
renal,1.3551316076294277,1.2919392156862743,0.0713312456086057,1.3315990182606057,1.3539581946524186,-0.025238922815982258,0.8674866119221653
diabetes,0.2098092643051771,0.17647058823529413,0.08433725786216212,0.20820091938685092,0.18892658026388412,0.04875853214233882,1.0758318650822796
albumin,3.964241689373297,4.064204575163399,-0.49637291565269853,3.9972541245979523,3.9979374664923473,-0.003393183438308402,1.0342541996755383
hemoglobin,13.101472479564034,13.307860784313727,-0.41844365347043544,13.171551259120971,13.175218146772101,-0.007434461305670865,0.9901028862934124
heart_rate,100.44482288828338,93.95751633986929,0.5516645173404965,98.1648035864426,97.82693603967772,0.028731421233151408,1.1224913033733603
sex_M,0.5395095367847411,0.40522875816993464,0.27081274224314517,0.5038112271018621,0.5132771377460327,-0.019090515007586843,1.0006474842991313
site_B,0.26975476839237056,0.20261437908496732,0.15821844582915323,0.24865953948131658,0.23105601146854632,0.04148326919193725,1.0515499896927638
site_C,0.22343324250681199,0.3137254901960784,-0.20428759498003743,0.2403293704956017,0.23598106956874387,0.009838097525872683,1.0126302580430298
site_D,0.26975476839237056,0.20261437908496732,0.15821844582915326,0.2551516876205455,0.2822211262774864,-0.06378998629512768,0.938179828177549
