covariate,smdBefore,smdAfter,absSmdBefore,absSmdAfter
admission_age,-0.3016314408732769,-0.023611704452658155,0.3016314408732769,0.023611704452658155
male,0.0914153939033155,-0.04476507527547726,0.0914153939033155,0.04476507527547726
apsiii,0.8695248158476167,-0.18399570589483563,0.8695248158476167,0.18399570589483563
oasis,0.46816503916996743,-0.10257170109125133,0.46816503916996743,0.10257170109125133
sofa,1.0605303706785905,-0.18239589701230463,1.0605303706785905,0.18239589701230463
charlson_comorbidity_index,0.248570873447951,-0.04505059241588098,0.248570873447951,0.04505059241588098
hemoglobin_min,-0.3364530057616824,0.050317135006419975,0.3364530057616824,0.050317135006419975
wbc_max,0.14521982914445714,0.00943257870200703,0.14521982914445714,0.00943257870200703
creatinine_max,1.506107003676598,0.03659796152765733,1.506107003676598,0.03659796152765733
bun_max,0.7309382700003912,-0.07416945507170608,0.7309382700003912,0.07416945507170608
glucose_max,0.17819514679738,-0.04730235787250361,0.17819514679738,0.04730235787250361
